SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19000101,9.2,8.5,9,8.75,5.5,8
19000102,9,6.5,7.25,4,3.75,9.4
19000103,8.2,5.25,8,8.75,6.75,9
19000105,9,6,8.25,6.25,5.25,9.8
19000108,9.6,6.5,9.5,9.5,6.25,9.4
19000110,9.2,7.25,9,9,5.25,8
19000112,8.4,5,7.75,9.25,4,6.6
19000118,9,6.5,9.25,9,2.25,9
19000121,8.2,6,8.75,8.5,2.75,9
19000127,9.6,7.5,8.25,9,5.25,9.4
19000128,8.8,7,4,7.75,9.5,5.6
19000129,9,6.75,8.25,9.75,5.25,9
19000131,9.2,6.25,8.75,8.75,5.25,9.2
19000139,8.6,6.25,7.75,8.75,5.25,7.2
19000140,7.4,5.5,5.5,3.5,4.75,6.6
19000141,8.8,8,8.5,9.25,5.25,7.6
19000143,8.6,5.75,7.75,5.25,4.75,9.8
19000146,9.6,6.75,9.25,9,5.5,7
19000147,9.4,8,4.75,8.75,10,8.8
19000150,9.4,6.75,8.5,9,4.75,7.6
19000151,8.8,6.5,8,9.5,5.75,7.4
19000152,9.2,6.25,9,9,4.75,9.8
19000153,9,7.5,8.75,7.25,7.25,9.6
19000154,9.6,7.5,8.5,8.25,6.5,7.4
19000156,9.2,7,8,5.75,6,9
19000157,7.8,3.75,3,7.75,7,5.6
19000158,9,7.25,8.5,9.25,3.75,8.8
19000160,9.4,7.75,9.25,5.5,5.5,9.6
19000162,9.2,7,8,8.5,5,7.6
19000163,9.6,7,6.75,9,9.25,4
19000164,8.4,7.75,8,6,3.25,9.6
19000165,7.8,8,6,8.25,6.75,9
19000171,9.2,8,8.5,8.25,4.25,7.8
19000172,7.8,6,5.5,8.5,8,7.6
19000174,9.4,7,9.25,8.75,4,6.2
19000175,8.6,7.25,6.75,6.5,5.5,9
19000176,9,7.25,8.5,7.25,6,9.6
19000177,8.8,5.75,4.25,8.5,9.25,6.2
19000180,9.6,8,8.75,9.25,7,9.4
19000181,8.6,7.5,8.25,8.25,7,8.6
19000182,8,6.75,5.5,8.5,4.25,9.4
19000183,8.6,7,7.75,4.75,5.75,10
19000184,9.4,6.75,8.5,8.25,5,5
19000187,9,9,7,8.5,9,9.4
19000188,9.2,7.25,5.25,9.5,9.5,9
19000189,9.6,4.75,6,9,9.5,7
19000191,8.8,8.25,8.25,5.25,3.25,10
19000193,8.8,7.5,7.75,9.25,9.5,9.4
19000194,9,5.25,7.75,5,2,9.4
19000195,8.8,3.75,9,9.75,7.25,7
19000196,9,4.5,8.5,5.25,5.5,9
19000198,9.4,7.5,8.5,3.25,6,9.8
19000208,9.4,7.25,8.75,5.5,4.25,9.6
19000210,8.4,6.5,6,8.5,9.25,8.6
19000211,8,5.75,7.5,3.75,3.25,8.8
19000212,9,7.5,8.75,9.5,4,7.2
19000213,9.4,7.25,8.75,9,4,6
19000214,9.6,7.5,8,5.5,7.75,10
19000215,9.4,7.25,5,8.5,9.75,7.4
