SBD, Toan, Van, Su, Dia, GDCD, Anh
19000104,8.4,8.75,5.75,7.75,9,9.6
19000106,7,8,9,9,10,9.2
19000107,7,7,5.25,7.75,8.75,9
19000109,8.2,7.25,3.75,7.5,5.75,10
19000111,7.2,8,4.75,6,7,9.8
19000113,9,8,7.75,8.75,9.5,9.8
19000114,9,9.25,4,7,8.5,9.6
19000115,7.4,9.25,5.75,7.75,7.5,9.2
19000116,6.4,9.5,9.5,9.5,10,7.2
19000119,8.4,9,8.5,8,9.75,10
19000120,7.4,8,9.25,9,10,7
19000122,7.4,9,4,5.75,8.25,9.8
19000123,8,9.25,7,7.75,9,9
19000124,8.8,9,5.5,8,9,10
19000125,6.4,8,6.5,7.75,9.5,9.4
19000126,8.8,8.5,6.5,8.25,9.25,8.8
19000130,6.2,6.5,3.5,6,6.25,6.6
19000132,5.8,8,8.5,9,9.25,9
19000133,8.4,9,3.5,6.25,8.5,8.4
19000134,8.4,9.25,6.25,7,8.5,8.8
19000135,9,8.5,4.75,7.75,7.75,8.4
19000136,7.6,8.25,6.25,8,9,9.8
19000137,5.8,8.5,9.5,9.75,10,9.4
19000138,7.8,8,4.25,7,8.25,9.6
19000142,8.4,9.25,6,8.5,9.25,9.6
19000144,6.8,9,9.5,9.5,9.5,9
19000145,8.8,9.25,4,6.75,7.25,9.8
19000148,8.8,9,6.25,8.5,9.75,9.8
19000149,8,8.5,9.25,9.5,9.75,7.8
19000159,8.4,9,6.75,7,9,9.6
19000161,7.6,8.25,9.25,9,9,8.2
19000166,8.6,7.5,9.5,8,8.75,9.2
19000167,7.8,9.25,6.5,8.25,9.25,9.8
19000168,9,9.25,8,9,9,9.2
19000169,8.4,8.75,4.5,6.75,7.5,9.4
19000170,8,9.5,9,8.75,9.75,8.6
19000173,8.4,8.75,5,8,8.5,9.6
19000179,9.2,8.5,5.25,7.25,8.5,9.8
19000185,6.4,8.75,8.5,9.25,9.75,9.4
19000186,7.8,9,6.5,8.5,8.25,10
19000190,8,8,5.5,7.75,9.75,10
19000192,7.2,9,9.25,9.75,10,8.8
19000199,8.8,8.75,5.25,8.25,8.5,9.6
19000200,8.6,9,3.75,6.5,8.25,9.8
19000201,8,8.75,6.75,8.75,9.5,9.8
19000202,8.2,9,6.75,8.5,8.75,10
19000203,8.8,8.5,7.25,7.5,9.75,9.6
19000204,5.4,8.5,9.75,9.5,10,8.8
19000205,8,8.75,6.5,8.5,8.75,8.8
19000206,7.8,9.25,6.5,8.5,9.5,9.4
19000207,7.4,8.5,4.75,5.5,7,9.2
19000209,7.4,8.5,4.25,6.75,6.75,9.2
19000216,8,9.25,5.25,7,9.5,10
19000217,8.2,9,5.25,8,9.75,9.8
19000218,8.6,9.5,7.75,9,9.5,9.6
19000219,9.4,9,6.75,8.25,9.25,9.2
19000221,8.2,9.25,4.5,6.5,8,9.6
19000222,8.6,9,6.75,7.25,6.75,9.8
19000224,8.4,9.5,4.5,7.5,8.75,9.6
19000225,8.6,9.25,7.75,8.25,8.25,9.4
19000231,7.6,8.5,4.5,6.25,7.75,9.8
19000237,8.6,8.25,4.75,7.5,9,9.2
19000238,8.4,8,5,8,9.5,9.8
19000239,8.6,8.75,4.75,8,9.5,9.8
19000240,9,9.5,6.5,8.25,8.75,10
19000241,7.2,8.5,5.75,5.75,8,9.2
19000242,4.8,8.75,9.25,9.25,9.25,5.8
19000243,5.2,8.5,9.25,9.75,9,8
19000244,9.2,8.25,5.5,8.5,8.25,9.8
19000245,3.6,7.75,9,8.75,9.5,6.8
19000246,4,8.25,8.25,8.25,6.75,6.4
19000248,8.4,7.75,7.75,7.75,8.75,9.8
19000249,8,7.75,8.25,9.5,9,10
19000250,6.8,7.75,3,6.75,6.5,8.4
19000252,8.4,9,6,8.25,8,9.8
19000253,7,9,9.25,9,9.25,4.6
19000254,9,9,7.25,9,9.5,10
19000256,7.2,8.5,8.5,9.25,9.75,7.6
19000262,9.4,9,7.75,8.5,9.25,9.6
19000263,7.6,8.75,9.25,9.25,9.75,8.2
19000268,9,9.5,6.25,8.5,9.5,10
19000269,8.4,8.75,7,8.75,9.5,9.6
19000270,6,7.25,9,9.75,9.75,8.2
19000271,9.2,8,8.25,8.25,9,9.6
19000272,8,7.5,9.25,8.5,8,6.6
19000273,9,8,6.25,7.75,9,9.8
19000274,7.2,8.75,9.75,9.25,10,9.6
19000275,8.4,9.5,9,9,9.25,10
19000276,9,8.75,7.5,8.75,9.25,10
19000277,9.2,8.75,6,8.5,9.75,9.2
19000281,8.4,7.5,5.75,7,9.25,9.8
19000288,7.6,8.25,5.25,7.25,7.5,10
19000289,8.8,9,6.75,7,8.5,9.8
19000290,8.8,8.25,5.5,8.75,9.5,10
19000291,8,9,5.25,6.75,9.5,9.6
19000292,5.6,8.75,9.5,9,9,8.4
19000293,7.8,8.25,7,8.25,8.25,9.4
19000294,8.4,8.75,7.5,8.75,9.75,9.6
19000296,8.6,9,6.25,6.75,9.25,10
19000297,8.6,8,5.75,6.5,8.5,9.6
19000300,8.6,8.5,7.25,8.75,9.75,10
19000302,9.2,8.75,8.25,9,9.5,9.8
19000305,7.8,7.25,9.75,9.25,9.5,9.2
19000317,7,8.25,9,9.5,9.25,9
19000320,6.6,8,9.25,9.75,9.5,6.6
19000321,5.2,8.75,8.75,10,9.25,9.4
19000322,8.8,8.75,7.5,8.75,9.5,10
19000324,8,9.25,5.75,7,8.75,9.6
19000325,8.8,9,6,8.75,8.75,9.4
19000326,8.4,9.25,6,7.75,8,9.4
19000331,9,7,8.25,9.5,9.5,9
19000333,8.6,9.25,6.25,8.5,9.25,9.4
19000336,8.2,8.75,5,7.75,9,10
19000342,6.8,8.5,9.25,9.5,9.75,9.8
19000343,7,7.5,6,6.5,8.25,9.6
19000344,8.8,8.5,6.75,7.75,9.5,10
19000345,7.4,9,9.5,9.5,9.75,7.6
19000346,8.8,9.25,6.5,6.75,8.25,9.4
19000347,7.6,9,6,7.25,7.5,9.8
19000348,8,9,7.5,8,9.75,9.8
19000351,7.2,8.5,2.75,7,7.75,9.6
19000352,8,9,4.5,6.5,8.25,8.8
19000353,7.8,9,9.75,9.5,9.25,7.8
19000354,7.6,8.75,8.75,9.5,10,9.2
19000355,5,8,9.75,9,8,7.8
19000356,9,7.75,5.25,7,9,9.8
19000361,7.6,4.75,4.25,5.75,8,9.6
19000371,8.4,9,7.75,7.25,8.25,10
19000372,3.6,9,8.25,9,7.25,8.8
19000373,7.2,9,9.5,9.5,9.75,7.6
19000374,9.4,9.5,7.25,8,9,9.8
19000378,8,8.25,4.5,7,7.5,10
19000379,9.4,9.25,5.5,7.5,9,9.8
19000380,8.6,8,7.5,9,9.75,9.2
19000381,7.2,8.75,9,9.25,7.5,7.8
19000382,8.2,9,6.25,7.5,9.5,9.8
19000383,9,9.25,7.5,9,9.75,9.6
19000386,6,8.5,9.75,9,9,8.2
19000390,8.4,8.75,9.75,8.75,8.75,6
19000393,8.4,8.75,3.75,6.75,8.5,9.4
19000395,8.6,9.25,6.75,7.5,9.75,9.8
19000402,8.2,6.25,3,7,8.25,9.8
19000403,6.8,5.75,3.25,6.5,6.5,9.2
19000404,8.6,9,6.5,7,9.25,9.4
19000411,8.8,8.75,3.75,6.25,9,9.2
19000412,8.6,8.75,6,8.75,9.5,9.2
19000413,9,9,6.5,8.25,9.25,9.6
19000415,7.8,8.25,7,7.5,9,9.2
19000418,7.6,8.25,4.25,5.75,9,8.8
19000419,8.6,8.5,5.75,8.5,9.25,9.2
19000422,5.6,7.75,9.25,9.5,8,7.2
19000423,8.6,8.5,7.75,8,9.75,9.6
19000424,6.4,8.5,6.75,7,9.75,8.6
19000426,6.2,8.25,9.5,8.75,8.25,6.6
19000427,8.6,7.75,6.25,8,9,8
19000430,8.2,7.25,5.25,7.25,9.5,9.2
19000432,8.4,8,3.5,6.75,8,9.8
19000437,8,8,5.75,7,8.75,9.2
19000441,7.6,8.5,7,7.5,5.5,9.6
19000446,8,8.75,3.75,6.5,9.75,9.4
19000447,4,6,5,6,8.25,8.2
19000449,7,6.25,4,6.75,7.25,9.6
19000451,7,8,4,6.25,8,9.2
19000452,7.6,7.75,6.25,5.75,7.5,9.2
19000453,6.4,5.75,4,6.75,7,9.4
19000454,8,8.75,8.25,9.25,9.25,9.6
19000456,7.6,8,9.5,7.75,8.25,7
19000458,8.4,8,3.75,6.5,8.5,9
19000460,8,7.75,4.75,8,9.25,8.6
19000463,7,6,4.5,5.5,9.75,6
19000464,8,7.5,6,8,9,8.8
19000465,8.2,8.75,4.5,7.75,9.75,9.8
19000466,8.8,9,6.25,8.25,8.25,9.6
19000470,8.2,8.5,4.75,8.25,9.25,8.2
19000471,7.6,7.75,4.25,5.75,7.5,9
19000477,7.8,8.25,5,6.75,8.25,9.2
19000479,5.6,8.5,10,9.25,9.75,7.2
19000480,7.8,9,4.5,7.25,8,8.8
19000483,7.2,6.5,4.75,7.75,7.75,6.6
19000484,7.4,9,3.75,7,10,9
19000485,8,8.75,4.75,7,7.25,8.8
19000486,8.4,7.75,6,7.75,8.5,9.6
19000487,8.2,8.25,5.75,7.5,8,9.6
19000488,5.6,6.75,0.75,3.75,4.5,7.8
19000489,8.2,8.5,3,7.25,8,9.4
19000491,6.4,9,2,6.5,8,8.6
19000492,8,9.25,6,6,9,9.2
19000493,8.2,8.5,4.75,6.75,9.5,9
19000496,8,8,4.5,7,8.5,9.4
19000500,7.8,8.25,4.75,6.75,7.5,8.8
19000505,8.4,8,7.25,7.5,8.5,9.8
19000506,8.8,8.5,5.75,9,9.25,9.4
19000507,4.8,8,3.75,4,7.75,5.2
19000508,5.6,7.5,3.75,5,7.25,7.4
19000509,8.6,9,6.75,7.25,9.75,9.8
19000510,7,8,3.25,5.5,7.25,8.4
19000511,9.2,9,3,8,7.75,9.4
19000517,8.4,8.5,5.5,6.5,8.5,8.6
19000521,8.2,8,2.25,8.25,8,8.8
19000522,8.4,9,9.25,9.5,9.75,9
19000523,7.8,9,7.5,9,9.75,9
19000525,6.2,9,5,7.25,8.25,9.8
19000526,6.6,7.25,6,7,8.25,7.2
19000527,8.2,7.25,6.25,8.25,9.75,9
19000529,8.2,8.25,5.75,7.25,9,9.2
19000545,6.2,7.75,5.75,6.75,7.5,9.6
19000546,8.6,8.25,7.25,6.5,9.25,9.6
19000547,7.2,8.5,9.75,8.75,8,9
19000548,7.2,8.5,5.75,7.5,7.5,8.6
19000560,8.4,7.5,7,8.25,8.5,9.4
19000562,8,7.5,7.25,8,9.5,9.2
19000565,8.2,8.5,7.75,7.75,9.25,9
19000568,8.8,8.75,4.5,7,8.25,9
19000570,7.4,8.5,5,6.25,8,9.4
19000571,8,8.25,5.25,7.75,9.75,9.4
19000574,8.8,9.25,6,5,8.75,9.8
19000581,7,7.25,8,7.25,9.75,9.2
19000584,8.4,8.75,4.25,6.25,7,8.8
19000595,8,7,6.25,7.5,9.25,7.6
19000596,5.6,5.25,3.75,6.75,8.5,6.4
19000600,4.2,8,8.75,7.5,8,7
19000601,8.8,7,7.25,7,8.25,8.8
19000607,8.2,8.5,6.25,7.25,8.75,9
